Channel , Theta ,Alpha ,Low beta ,High beta , Gamma 
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
T7,715.7323853112583,644.1969370543612,939.4714099899452,468.7519919507452,1463.7123857800639,
Pz,240.9392347053578,169.40621707390935,109.96692117085774,252.95964005041947,216.6047438266798,
T8,446.0712628425559,910.8605069737673,500.9957210188243,421.7937389556186,528.1126901873154,
AF4,419.81463172378534,366.14349221194266,493.4101442386316,468.96052988352733,313.4673639009495,
AF3,427.02411385808887,633.3518969702559,917.8295501356612,321.1134809982133,986.6437013764526,
