Channel , Theta ,Alpha ,Low beta ,High beta , Gamma 
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
Pz,52.59182810194161,72.44211632072164,97.18789819806912,54.204493804353866,76.36347704546888,
T8,127.50833821348846,75.42953351640398,158.4546317354623,172.8593920358893,370.70628581525443,
AF4,204.1884731739084,481.1018367207787,330.32831104266245,208.90666979249227,230.94197518081367,
AF3,323.89476880831995,445.7637387395741,295.93827593432445,197.03818440750825,333.4894562628976,
T7,75.5835197421908,354.76584184634834,353.6301372471484,395.03891639940883,373.92229613796644,
