Channel , Theta ,Alpha ,Low beta ,High beta , Gamma 
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
T7,44.88114187431946,44.984846907967864,38.6588562729023,26.172525632745657,40.32259637790322,
Pz,3.35847995050889,3.442782648324256,2.7407214590949778,2.856874802083038,8.254278186328092,
T8,48.27930552737181,85.55460526874815,93.75897123903538,47.55723657975678,33.129604147144725,
AF4,46.18864706968745,43.94562124579092,49.99550702797581,47.03002364203942,36.05028558857663,
AF3,70.55572432291832,66.71190996551263,65.09010975670304,26.03164816810529,35.681246107219344,
