Channel , Theta ,Alpha ,Low beta ,High beta , Gamma 
AF4,70.00922888069618,22.01989122017979,14.554935856085523,8.79309749525404,4.1862579357026934,
AF3,196.272026961483,19.07669062178735,25.21735899511652,15.939139078419018,8.311064417708028,
T7,100.38580852980272,20.56317336860369,101.85283965513617,39.510393225407164,21.877679921232666,
Pz,376.65785321693966,147.61378323316225,248.90740621077293,124.49102220182179,113.42302451717845,
T8,224.93119673957878,239.07753076603714,235.843166372031,132.87950725563744,26.930944241894117,
AF4,70.00922888069618,22.01989122017979,14.554935856085523,8.79309749525404,4.1862579357026934,
AF3,196.272026961483,19.07669062178735,25.21735899511652,15.939139078419018,8.311064417708028,
T7,100.38580852980272,20.56317336860369,101.85283965513617,39.510393225407164,21.877679921232666,
Pz,376.65785321693966,147.61378323316225,248.90740621077293,124.49102220182179,113.42302451717845,
T8,224.93119673957878,239.07753076603714,235.843166372031,132.87950725563744,26.930944241894117,
AF4,70.00922888069618,22.01989122017979,14.554935856085523,8.79309749525404,4.1862579357026934,
AF3,196.272026961483,19.07669062178735,25.21735899511652,15.939139078419018,8.311064417708028,
T7,100.38580852980272,20.56317336860369,101.85283965513617,39.510393225407164,21.877679921232666,
Pz,376.65785321693966,147.61378323316225,248.90740621077293,124.49102220182179,113.42302451717845,
T8,224.93119673957878,239.07753076603714,235.843166372031,132.87950725563744,26.930944241894117,
AF4,70.00922888069618,22.01989122017979,14.554935856085523,8.79309749525404,4.1862579357026934,
AF3,196.272026961483,19.07669062178735,25.21735899511652,15.939139078419018,8.311064417708028,
T7,100.38580852980272,20.56317336860369,101.85283965513617,39.510393225407164,21.877679921232666,
Pz,376.65785321693966,147.61378323316225,248.90740621077293,124.49102220182179,113.42302451717845,
T8,224.93119673957878,239.07753076603714,235.843166372031,132.87950725563744,26.930944241894117,
AF4,70.00922888069618,22.01989122017979,14.554935856085523,8.79309749525404,4.1862579357026934,
AF3,196.272026961483,19.07669062178735,25.21735899511652,15.939139078419018,8.311064417708028,
T7,100.38580852980272,20.56317336860369,101.85283965513617,39.510393225407164,21.877679921232666,
Pz,376.65785321693966,147.61378323316225,248.90740621077293,124.49102220182179,113.42302451717845,
T8,224.93119673957878,239.07753076603714,235.843166372031,132.87950725563744,26.930944241894117,
AF4,70.00922888069618,22.01989122017979,14.554935856085523,8.79309749525404,4.1862579357026934,
AF3,196.272026961483,19.07669062178735,25.21735899511652,15.939139078419018,8.311064417708028,
T7,100.38580852980272,20.56317336860369,101.85283965513617,39.510393225407164,21.877679921232666,
Pz,376.65785321693966,147.61378323316225,248.90740621077293,124.49102220182179,113.42302451717845,
T8,224.93119673957878,239.07753076603714,235.843166372031,132.87950725563744,26.930944241894117,
AF4,70.00922888069618,22.01989122017979,14.554935856085523,8.79309749525404,4.1862579357026934,
AF3,196.272026961483,19.07669062178735,25.21735899511652,15.939139078419018,8.311064417708028,
T7,100.38580852980272,20.56317336860369,101.85283965513617,39.510393225407164,21.877679921232666,
Pz,376.65785321693966,147.61378323316225,248.90740621077293,124.49102220182179,113.42302451717845,
T8,224.93119673957878,239.07753076603714,235.843166372031,132.87950725563744,26.930944241894117,
AF4,70.00922888069618,22.01989122017979,14.554935856085523,8.79309749525404,4.1862579357026934,
AF3,196.272026961483,19.07669062178735,25.21735899511652,15.939139078419018,8.311064417708028,
T7,100.38580852980272,20.56317336860369,101.85283965513617,39.510393225407164,21.877679921232666,
Pz,376.65785321693966,147.61378323316225,248.90740621077293,124.49102220182179,113.42302451717845,
T8,224.93119673957878,239.07753076603714,235.843166372031,132.87950725563744,26.930944241894117,
AF4,70.00922888069618,22.01989122017979,14.554935856085523,8.79309749525404,4.1862579357026934,
AF3,196.272026961483,19.07669062178735,25.21735899511652,15.939139078419018,8.311064417708028,
T7,100.38580852980272,20.56317336860369,101.85283965513617,39.510393225407164,21.877679921232666,
Pz,376.65785321693966,147.61378323316225,248.90740621077293,124.49102220182179,113.42302451717845,
T8,224.93119673957878,239.07753076603714,235.843166372031,132.87950725563744,26.930944241894117,
AF4,70.00922888069618,22.01989122017979,14.554935856085523,8.79309749525404,4.1862579357026934,
AF3,196.272026961483,19.07669062178735,25.21735899511652,15.939139078419018,8.311064417708028,
T7,100.38580852980272,20.56317336860369,101.85283965513617,39.510393225407164,21.877679921232666,
Pz,376.65785321693966,147.61378323316225,248.90740621077293,124.49102220182179,113.42302451717845,
T8,224.93119673957878,239.07753076603714,235.843166372031,132.87950725563744,26.930944241894117,
AF4,70.00922888069618,22.01989122017979,14.554935856085523,8.79309749525404,4.1862579357026934,
AF3,196.272026961483,19.07669062178735,25.21735899511652,15.939139078419018,8.311064417708028,
T7,100.38580852980272,20.56317336860369,101.85283965513617,39.510393225407164,21.877679921232666,
Pz,376.65785321693966,147.61378323316225,248.90740621077293,124.49102220182179,113.42302451717845,
T8,224.93119673957878,239.07753076603714,235.843166372031,132.87950725563744,26.930944241894117,
AF4,70.00922888069618,22.01989122017979,14.554935856085523,8.79309749525404,4.1862579357026934,
AF3,196.272026961483,19.07669062178735,25.21735899511652,15.939139078419018,8.311064417708028,
T7,100.38580852980272,20.56317336860369,101.85283965513617,39.510393225407164,21.877679921232666,
Pz,376.65785321693966,147.61378323316225,248.90740621077293,124.49102220182179,113.42302451717845,
T8,224.93119673957878,239.07753076603714,235.843166372031,132.87950725563744,26.930944241894117,
AF4,70.00922888069618,22.01989122017979,14.554935856085523,8.79309749525404,4.1862579357026934,
AF3,196.272026961483,19.07669062178735,25.21735899511652,15.939139078419018,8.311064417708028,
T7,100.38580852980272,20.56317336860369,101.85283965513617,39.510393225407164,21.877679921232666,
Pz,376.65785321693966,147.61378323316225,248.90740621077293,124.49102220182179,113.42302451717845,
T8,224.93119673957878,239.07753076603714,235.843166372031,132.87950725563744,26.930944241894117,
AF4,70.00922888069618,22.01989122017979,14.554935856085523,8.79309749525404,4.1862579357026934,
AF3,196.272026961483,19.07669062178735,25.21735899511652,15.939139078419018,8.311064417708028,
T7,100.38580852980272,20.56317336860369,101.85283965513617,39.510393225407164,21.877679921232666,
Pz,376.65785321693966,147.61378323316225,248.90740621077293,124.49102220182179,113.42302451717845,
T8,224.93119673957878,239.07753076603714,235.843166372031,132.87950725563744,26.930944241894117,
AF4,70.00922888069618,22.01989122017979,14.554935856085523,8.79309749525404,4.1862579357026934,
AF3,196.272026961483,19.07669062178735,25.21735899511652,15.939139078419018,8.311064417708028,
T7,100.38580852980272,20.56317336860369,101.85283965513617,39.510393225407164,21.877679921232666,
Pz,376.65785321693966,147.61378323316225,248.90740621077293,124.49102220182179,113.42302451717845,
T8,224.93119673957878,239.07753076603714,235.843166372031,132.87950725563744,26.930944241894117,
AF4,70.00922888069618,22.01989122017979,14.554935856085523,8.79309749525404,4.1862579357026934,
AF3,196.272026961483,19.07669062178735,25.21735899511652,15.939139078419018,8.311064417708028,
T7,100.38580852980272,20.56317336860369,101.85283965513617,39.510393225407164,21.877679921232666,
Pz,376.65785321693966,147.61378323316225,248.90740621077293,124.49102220182179,113.42302451717845,
T8,224.93119673957878,239.07753076603714,235.843166372031,132.87950725563744,26.930944241894117,
AF4,70.00922888069618,22.01989122017979,14.554935856085523,8.79309749525404,4.1862579357026934,
AF3,196.272026961483,19.07669062178735,25.21735899511652,15.939139078419018,8.311064417708028,
T7,100.38580852980272,20.56317336860369,101.85283965513617,39.510393225407164,21.877679921232666,
Pz,376.65785321693966,147.61378323316225,248.90740621077293,124.49102220182179,113.42302451717845,
T8,224.93119673957878,239.07753076603714,235.843166372031,132.87950725563744,26.930944241894117,
AF4,70.00922888069618,22.01989122017979,14.554935856085523,8.79309749525404,4.1862579357026934,
AF3,196.272026961483,19.07669062178735,25.21735899511652,15.939139078419018,8.311064417708028,
T7,100.38580852980272,20.56317336860369,101.85283965513617,39.510393225407164,21.877679921232666,
Pz,376.65785321693966,147.61378323316225,248.90740621077293,124.49102220182179,113.42302451717845,
T8,224.93119673957878,239.07753076603714,235.843166372031,132.87950725563744,26.930944241894117,
AF4,70.00922888069618,22.01989122017979,14.554935856085523,8.79309749525404,4.1862579357026934,
AF3,196.272026961483,19.07669062178735,25.21735899511652,15.939139078419018,8.311064417708028,
T7,100.38580852980272,20.56317336860369,101.85283965513617,39.510393225407164,21.877679921232666,
Pz,376.65785321693966,147.61378323316225,248.90740621077293,124.49102220182179,113.42302451717845,
T8,224.93119673957878,239.07753076603714,235.843166372031,132.87950725563744,26.930944241894117,
AF4,70.00922888069618,22.01989122017979,14.554935856085523,8.79309749525404,4.1862579357026934,
AF3,196.272026961483,19.07669062178735,25.21735899511652,15.939139078419018,8.311064417708028,
T7,100.38580852980272,20.56317336860369,101.85283965513617,39.510393225407164,21.877679921232666,
Pz,376.65785321693966,147.61378323316225,248.90740621077293,124.49102220182179,113.42302451717845,
T8,224.93119673957878,239.07753076603714,235.843166372031,132.87950725563744,26.930944241894117,
AF4,70.00922888069618,22.01989122017979,14.554935856085523,8.79309749525404,4.1862579357026934,
AF3,196.272026961483,19.07669062178735,25.21735899511652,15.939139078419018,8.311064417708028,
T7,100.38580852980272,20.56317336860369,101.85283965513617,39.510393225407164,21.877679921232666,
Pz,376.65785321693966,147.61378323316225,248.90740621077293,124.49102220182179,113.42302451717845,
T8,224.93119673957878,239.07753076603714,235.843166372031,132.87950725563744,26.930944241894117,
AF4,70.00922888069618,22.01989122017979,14.554935856085523,8.79309749525404,4.1862579357026934,
AF3,196.272026961483,19.07669062178735,25.21735899511652,15.939139078419018,8.311064417708028,
T7,100.38580852980272,20.56317336860369,101.85283965513617,39.510393225407164,21.877679921232666,
Pz,376.65785321693966,147.61378323316225,248.90740621077293,124.49102220182179,113.42302451717845,
T8,224.93119673957878,239.07753076603714,235.843166372031,132.87950725563744,26.930944241894117,
AF4,70.00922888069618,22.01989122017979,14.554935856085523,8.79309749525404,4.1862579357026934,
AF3,196.272026961483,19.07669062178735,25.21735899511652,15.939139078419018,8.311064417708028,
T7,100.38580852980272,20.56317336860369,101.85283965513617,39.510393225407164,21.877679921232666,
Pz,376.65785321693966,147.61378323316225,248.90740621077293,124.49102220182179,113.42302451717845,
T8,224.93119673957878,239.07753076603714,235.843166372031,132.87950725563744,26.930944241894117,
AF4,70.00922888069618,22.01989122017979,14.554935856085523,8.79309749525404,4.1862579357026934,
AF3,196.272026961483,19.07669062178735,25.21735899511652,15.939139078419018,8.311064417708028,
T7,100.38580852980272,20.56317336860369,101.85283965513617,39.510393225407164,21.877679921232666,
Pz,376.65785321693966,147.61378323316225,248.90740621077293,124.49102220182179,113.42302451717845,
T8,224.93119673957878,239.07753076603714,235.843166372031,132.87950725563744,26.930944241894117,
AF4,70.00922888069618,22.01989122017979,14.554935856085523,8.79309749525404,4.1862579357026934,
AF3,196.272026961483,19.07669062178735,25.21735899511652,15.939139078419018,8.311064417708028,
T7,100.38580852980272,20.56317336860369,101.85283965513617,39.510393225407164,21.877679921232666,
Pz,376.65785321693966,147.61378323316225,248.90740621077293,124.49102220182179,113.42302451717845,
T8,224.93119673957878,239.07753076603714,235.843166372031,132.87950725563744,26.930944241894117,
AF4,70.00922888069618,22.01989122017979,14.554935856085523,8.79309749525404,4.1862579357026934,
AF3,196.272026961483,19.07669062178735,25.21735899511652,15.939139078419018,8.311064417708028,
T7,100.38580852980272,20.56317336860369,101.85283965513617,39.510393225407164,21.877679921232666,
Pz,376.65785321693966,147.61378323316225,248.90740621077293,124.49102220182179,113.42302451717845,
T8,224.93119673957878,239.07753076603714,235.843166372031,132.87950725563744,26.930944241894117,
AF4,70.00922888069618,22.01989122017979,14.554935856085523,8.79309749525404,4.1862579357026934,
AF3,196.272026961483,19.07669062178735,25.21735899511652,15.939139078419018,8.311064417708028,
T7,100.38580852980272,20.56317336860369,101.85283965513617,39.510393225407164,21.877679921232666,
Pz,376.65785321693966,147.61378323316225,248.90740621077293,124.49102220182179,113.42302451717845,
T8,224.93119673957878,239.07753076603714,235.843166372031,132.87950725563744,26.930944241894117,
AF4,70.00922888069618,22.01989122017979,14.554935856085523,8.79309749525404,4.1862579357026934,
AF3,196.272026961483,19.07669062178735,25.21735899511652,15.939139078419018,8.311064417708028,
T7,100.38580852980272,20.56317336860369,101.85283965513617,39.510393225407164,21.877679921232666,
Pz,376.65785321693966,147.61378323316225,248.90740621077293,124.49102220182179,113.42302451717845,
T8,224.93119673957878,239.07753076603714,235.843166372031,132.87950725563744,26.930944241894117,
AF4,70.00922888069618,22.01989122017979,14.554935856085523,8.79309749525404,4.1862579357026934,
AF3,196.272026961483,19.07669062178735,25.21735899511652,15.939139078419018,8.311064417708028,
T7,100.38580852980272,20.56317336860369,101.85283965513617,39.510393225407164,21.877679921232666,
Pz,376.65785321693966,147.61378323316225,248.90740621077293,124.49102220182179,113.42302451717845,
T8,224.93119673957878,239.07753076603714,235.843166372031,132.87950725563744,26.930944241894117,
AF4,70.00922888069618,22.01989122017979,14.554935856085523,8.79309749525404,4.1862579357026934,
AF3,196.272026961483,19.07669062178735,25.21735899511652,15.939139078419018,8.311064417708028,
T7,100.38580852980272,20.56317336860369,101.85283965513617,39.510393225407164,21.877679921232666,
Pz,376.65785321693966,147.61378323316225,248.90740621077293,124.49102220182179,113.42302451717845,
T8,224.93119673957878,239.07753076603714,235.843166372031,132.87950725563744,26.930944241894117,
AF4,70.00922888069618,22.01989122017979,14.554935856085523,8.79309749525404,4.1862579357026934,
AF3,196.272026961483,19.07669062178735,25.21735899511652,15.939139078419018,8.311064417708028,
T7,100.38580852980272,20.56317336860369,101.85283965513617,39.510393225407164,21.877679921232666,
Pz,376.65785321693966,147.61378323316225,248.90740621077293,124.49102220182179,113.42302451717845,
T8,224.93119673957878,239.07753076603714,235.843166372031,132.87950725563744,26.930944241894117,
AF4,70.00922888069618,22.01989122017979,14.554935856085523,8.79309749525404,4.1862579357026934,
AF3,196.272026961483,19.07669062178735,25.21735899511652,15.939139078419018,8.311064417708028,
T7,100.38580852980272,20.56317336860369,101.85283965513617,39.510393225407164,21.877679921232666,
Pz,376.65785321693966,147.61378323316225,248.90740621077293,124.49102220182179,113.42302451717845,
T8,224.93119673957878,239.07753076603714,235.843166372031,132.87950725563744,26.930944241894117,
AF4,70.00922888069618,22.01989122017979,14.554935856085523,8.79309749525404,4.1862579357026934,
AF3,196.272026961483,19.07669062178735,25.21735899511652,15.939139078419018,8.311064417708028,
T7,100.38580852980272,20.56317336860369,101.85283965513617,39.510393225407164,21.877679921232666,
Pz,376.65785321693966,147.61378323316225,248.90740621077293,124.49102220182179,113.42302451717845,
T8,224.93119673957878,239.07753076603714,235.843166372031,132.87950725563744,26.930944241894117,
AF4,70.00922888069618,22.01989122017979,14.554935856085523,8.79309749525404,4.1862579357026934,
AF3,196.272026961483,19.07669062178735,25.21735899511652,15.939139078419018,8.311064417708028,
T7,100.38580852980272,20.56317336860369,101.85283965513617,39.510393225407164,21.877679921232666,
Pz,376.65785321693966,147.61378323316225,248.90740621077293,124.49102220182179,113.42302451717845,
T8,224.93119673957878,239.07753076603714,235.843166372031,132.87950725563744,26.930944241894117,
AF4,70.00922888069618,22.01989122017979,14.554935856085523,8.79309749525404,4.1862579357026934,
AF3,196.272026961483,19.07669062178735,25.21735899511652,15.939139078419018,8.311064417708028,
T7,100.38580852980272,20.56317336860369,101.85283965513617,39.510393225407164,21.877679921232666,
Pz,376.65785321693966,147.61378323316225,248.90740621077293,124.49102220182179,113.42302451717845,
T8,224.93119673957878,239.07753076603714,235.843166372031,132.87950725563744,26.930944241894117,
AF4,70.00922888069618,22.01989122017979,14.554935856085523,8.79309749525404,4.1862579357026934,
AF3,196.272026961483,19.07669062178735,25.21735899511652,15.939139078419018,8.311064417708028,
T7,100.38580852980272,20.56317336860369,101.85283965513617,39.510393225407164,21.877679921232666,
Pz,376.65785321693966,147.61378323316225,248.90740621077293,124.49102220182179,113.42302451717845,
T8,224.93119673957878,239.07753076603714,235.843166372031,132.87950725563744,26.930944241894117,
AF4,70.00922888069618,22.01989122017979,14.554935856085523,8.79309749525404,4.1862579357026934,
AF3,196.272026961483,19.07669062178735,25.21735899511652,15.939139078419018,8.311064417708028,
T7,100.38580852980272,20.56317336860369,101.85283965513617,39.510393225407164,21.877679921232666,
Pz,376.65785321693966,147.61378323316225,248.90740621077293,124.49102220182179,113.42302451717845,
T8,224.93119673957878,239.07753076603714,235.843166372031,132.87950725563744,26.930944241894117,
AF4,70.00922888069618,22.01989122017979,14.554935856085523,8.79309749525404,4.1862579357026934,
AF3,196.272026961483,19.07669062178735,25.21735899511652,15.939139078419018,8.311064417708028,
T7,100.38580852980272,20.56317336860369,101.85283965513617,39.510393225407164,21.877679921232666,
Pz,376.65785321693966,147.61378323316225,248.90740621077293,124.49102220182179,113.42302451717845,
T8,224.93119673957878,239.07753076603714,235.843166372031,132.87950725563744,26.930944241894117,
AF4,70.00922888069618,22.01989122017979,14.554935856085523,8.79309749525404,4.1862579357026934,
AF3,196.272026961483,19.07669062178735,25.21735899511652,15.939139078419018,8.311064417708028,
T7,100.38580852980272,20.56317336860369,101.85283965513617,39.510393225407164,21.877679921232666,
Pz,376.65785321693966,147.61378323316225,248.90740621077293,124.49102220182179,113.42302451717845,
T8,224.93119673957878,239.07753076603714,235.843166372031,132.87950725563744,26.930944241894117,
AF4,70.00922888069618,22.01989122017979,14.554935856085523,8.79309749525404,4.1862579357026934,
AF3,196.272026961483,19.07669062178735,25.21735899511652,15.939139078419018,8.311064417708028,
T7,100.38580852980272,20.56317336860369,101.85283965513617,39.510393225407164,21.877679921232666,
Pz,376.65785321693966,147.61378323316225,248.90740621077293,124.49102220182179,113.42302451717845,
T8,224.93119673957878,239.07753076603714,235.843166372031,132.87950725563744,26.930944241894117,
AF4,70.00922888069618,22.01989122017979,14.554935856085523,8.79309749525404,4.1862579357026934,
AF3,121.21376789695847,11.422458454781244,28.1142475991942,11.805169391243615,6.049294230892602,
T7,122.8802481851026,54.68027059100761,111.2389266549963,40.28663302539738,25.11156114245589,
Pz,385.8970586712247,229.28114238547926,260.36760998563153,126.44108027671818,35.715433041117834,
